text,disease
"The patient presents with dizziness, sore throat, cough, and headache.",atelectasis
"The patient presents with shortness of breath, dizziness, and headache.",atelectasis
"The patient presents with shortness of breath, sore throat, and headache.",atelectasis
"The patient presents with shortness of breath, dizziness, sore throat, and headache.",atelectasis
"The patient presents with dizziness, sore throat, cough, and headache.",atelectasis
"The patient presents with shortness of breath, sharp chest pain, cough, and headache.",atelectasis
"The patient presents with shortness of breath, sharp chest pain, dizziness, sore throat, and cough.",atelectasis
"The patient presents with shortness of breath, sharp chest pain, dizziness, sore throat, and headache.",atelectasis
"The patient presents with dizziness, cough, and headache.",atelectasis
"The patient presents with dizziness, sore throat, and headache.",atelectasis
"The patient presents with shortness of breath, sharp chest pain, dizziness, sore throat, and headache.",atelectasis
"The patient presents with shortness of breath, sharp chest pain, dizziness, sore throat, and headache.",atelectasis
"The patient presents with sharp chest pain, dizziness, sore throat, and headache.",atelectasis
"The patient presents with shortness of breath, dizziness, sore throat, and headache.",atelectasis
"The patient presents with sharp chest pain, dizziness, cough, and headache.",atelectasis
"The patient presents with dizziness, cough, and headache.",atelectasis
"The patient presents with dizziness, cough, and headache.",atelectasis
"The patient presents with shortness of breath, sharp chest pain, dizziness, sore throat, cough, and headache.",atelectasis
"The patient presents with dizziness, sore throat, cough, and headache.",atelectasis
"The patient presents with shortness of breath, dizziness, sore throat, cough, and headache.",atelectasis
"The patient presents with shortness of breath, dizziness, cough, and headache.",atelectasis
"The patient presents with dizziness, sore throat, and headache.",atelectasis
"The patient presents with shortness of breath, sharp chest pain, dizziness, cough, and headache.",atelectasis
"The patient presents with shortness of breath, cough, and headache.",atelectasis
"The patient presents with sharp chest pain, dizziness, sore throat, and cough.",atelectasis
"The patient presents with shortness of breath, sharp chest pain, sore throat, and cough.",atelectasis
"The patient presents with shortness of breath, sharp chest pain, sore throat, cough, and headache.",atelectasis
"The patient presents with shortness of breath, dizziness, sore throat, cough, and headache.",atelectasis
"The patient presents with shortness of breath, sharp chest pain, dizziness, sore throat, and cough.",atelectasis
"The patient presents with shortness of breath, sharp chest pain, dizziness, sore throat, and headache.",atelectasis
"The patient presents with sharp chest pain, dizziness, sore throat, and headache.",atelectasis
"The patient presents with sharp chest pain, dizziness, sore throat, cough, and headache.",atelectasis
"The patient presents with dizziness, sore throat, cough, and headache.",atelectasis
"The patient presents with dizziness, sore throat, cough, and headache.",atelectasis
"The patient presents with shortness of breath, dizziness, and headache.",atelectasis
"The patient presents with sharp chest pain, dizziness, and headache.",atelectasis
"The patient presents with sharp chest pain, dizziness, and headache.",atelectasis
"The patient presents with shortness of breath, dizziness, sore throat, cough, and headache.",atelectasis
"The patient presents with sharp chest pain, dizziness, cough, and headache.",atelectasis
"The patient presents with shortness of breath, dizziness, sore throat, cough, and headache.",atelectasis
"The patient presents with shortness of breath, sharp chest pain, dizziness, sore throat, cough, and headache.",atelectasis
"The patient presents with sharp chest pain, dizziness, sore throat, cough, and headache.",atelectasis
"The patient presents with shortness of breath, sharp chest pain, sore throat, and headache.",atelectasis
"The patient presents with shortness of breath, dizziness, and headache.",atelectasis
"The patient presents with sharp chest pain, dizziness, sore throat, and headache.",atelectasis
"The patient presents with shortness of breath, sharp chest pain, and dizziness.",atelectasis
"The patient presents with shortness of breath, dizziness, sore throat, and headache.",atelectasis
"The patient presents with shortness of breath, sharp chest pain, sore throat, and headache.",atelectasis
"The patient presents with shortness of breath, sharp chest pain, dizziness, sore throat, cough, and headache.",atelectasis
"The patient presents with shortness of breath, sharp chest pain, dizziness, and headache.",atelectasis
"The patient presents with shortness of breath, sharp chest pain, cough, and headache.",atelectasis
"The patient presents with shortness of breath, sharp chest pain, dizziness, cough, and headache.",atelectasis
"The patient presents with shortness of breath, sharp chest pain, dizziness, sore throat, cough, and headache.",atelectasis
"The patient presents with shortness of breath, sharp chest pain, dizziness, sore throat, cough, and headache.",atelectasis
"The patient presents with dizziness, sore throat, and headache.",atelectasis
The patient presents with dizziness and headache.,atelectasis
"The patient presents with shortness of breath, sharp chest pain, dizziness, sore throat, and headache.",atelectasis
"The patient presents with shortness of breath, sharp chest pain, dizziness, sore throat, cough, and headache.",atelectasis
"The patient presents with sharp chest pain, dizziness, sore throat, and headache.",atelectasis
"The patient presents with shortness of breath, sharp chest pain, dizziness, sore throat, and headache.",atelectasis
"The patient presents with shortness of breath, sharp chest pain, dizziness, sore throat, and headache.",atelectasis
"The patient presents with shortness of breath, dizziness, sore throat, and headache.",atelectasis
"The patient presents with dizziness, sore throat, cough, and headache.",atelectasis
"The patient presents with dizziness, cough, and headache.",atelectasis
